"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_02","remember something","experience pain","mind","bio","causation_second",0.9,0.32
"subj_02","get sick","experience pain","bio","bio","causation_second",0.71,0.06
"subj_02","choose what to do","experience pain","mind","bio","causation_second",0.23,0.39
"subj_02","reach for something","experience pain","action","bio","causation_second",0.42,0.39
"subj_02","sit down","experience pain","action","bio","causation_second",0.74,0.44
"subj_02","jump up and down","experience pain","action","bio","causation_second",0.17,0.38
"subj_02","become hungry","experience pain","bio","bio","causation_second",0.63,0.25
"subj_02","think about something","experience pain","mind","bio","causation_second",0.93,0.26
"subj_02","kick something","experience pain","action","bio","causation_second",0.47,0.26
"subj_02","feel scared","experience pain","bio","bio","causation_second",0.27,0.11
"subj_02","see something","choose what to do","mind","mind","causation_second",0.38,0.39
"subj_02","get tired","choose what to do","bio","mind","causation_second",0.58,0.44
"subj_02","take a walk","choose what to do","action","mind","causation_second",0.39,0.74
"subj_02","hear something","choose what to do","mind","mind","causation_second",0.46,0.42
"subj_02","remember something","choose what to do","mind","mind","causation_second",0.67,0.26
"subj_02","get sick","choose what to do","bio","mind","causation_second",0.78,0.69
"subj_02","experience pain","choose what to do","bio","mind","causation_second",0.23,0.34
"subj_02","reach for something","choose what to do","action","mind","causation_second",0.19,0.59
"subj_02","sit down","choose what to do","action","mind","causation_second",0.68,0.78
"subj_02","jump up and down","choose what to do","action","mind","causation_second",0.23,0.88
"subj_02","become hungry","choose what to do","bio","mind","causation_second",0.74,0.28
"subj_02","think about something","choose what to do","mind","mind","causation_second",0.67,0.23
"subj_02","kick something","choose what to do","action","mind","causation_second",0.48,0.63
"subj_02","feel scared","choose what to do","bio","mind","causation_second",0.49,0.41
"subj_02","see something","reach for something","mind","action","causation_second",0.13,0.39
"subj_02","get tired","reach for something","bio","action","causation_second",0.56,0.68
"subj_02","take a walk","reach for something","action","action","causation_second",0.32,0.27
"subj_02","hear something","reach for something","mind","action","causation_second",0.21,0.44
"subj_02","remember something","reach for something","mind","action","causation_second",0.41,0.6
"subj_02","get sick","reach for something","bio","action","causation_second",0.66,0.24
"subj_02","experience pain","reach for something","bio","action","causation_second",0.42,0.45
"subj_02","choose what to do","reach for something","mind","action","causation_second",0.19,0.44
"subj_02","sit down","reach for something","action","action","causation_second",0.47,0.73
"subj_02","jump up and down","reach for something","action","action","causation_second",0.26,0.74
"subj_02","become hungry","reach for something","bio","action","causation_second",0.65,0.26
"subj_02","think about something","reach for something","mind","action","causation_second",0.43,0.64
"subj_02","kick something","reach for something","action","action","causation_second",0.36,0.44
"subj_02","feel scared","reach for something","bio","action","causation_second",0.55,0.39
"subj_02","see something","sit down","mind","action","causation_second",0.26,0.4
"subj_02","get tired","sit down","bio","action","causation_second",0.44,0.24
"subj_02","take a walk","sit down","action","action","causation_second",0.33,0.22
"subj_02","hear something","sit down","mind","action","causation_second",0.21,0.86
"subj_02","remember something","sit down","mind","action","causation_second",0.4,0.8
"subj_02","get sick","sit down","bio","action","causation_second",0.27,0.18
"subj_02","experience pain","sit down","bio","action","causation_second",0.74,0.3
"subj_02","choose what to do","sit down","mind","action","causation_second",0.68,0.53
"subj_02","reach for something","sit down","action","action","causation_second",0.47,0.62
"subj_02","jump up and down","sit down","action","action","causation_second",0.48,0.67
"subj_02","become hungry","sit down","bio","action","causation_second",0.34,0.42
"subj_02","think about something","sit down","mind","action","causation_second",0.56,0.95
"subj_02","kick something","sit down","action","action","causation_second",0.2,0.31
